# Column     -  Units  - Description
# IDcand     -         - Stream Candidate ID    
# CSS-SSS-ID -         - Catalina object ID         
# RAJ2000    -  deg    - J2000 right ascension      
# DEJ2000    -  deg    - J2000 declination      
# Rhel       -  kpc    - heliocentric distance     
# Rgal       -  kpc    - galactocentric distance (assuming Xsun=-8.5kpc)     
# Period     -  d      - Light curve period   
# AmpV       -  mag    - Light curve amplitude     
# FeH        -  dex    - Metallicity     
# flag       -         - FeH flag (0=metallicity from Drake+2013, 1=photometric metallicity computed in this paper)   
# pmRA       -  mas/yr - HSOY Proper motion in RA*cos(DE)        
# epmRA      -  mas/yr - pmRA error        
# pmDE       -  mas/yr - HSOY Proper motion in declination        
# epmDE      -  mas/yr - pmDE error        
# HSOY-ID    -         - HSOY object ID               
# IDcand   CSS-SSS-ID         RAJ2000     DEJ2000     Rhel    Rgal   Period    AmpV    FeH      flag   pmRA    epmRA   pmDE    epmDE   HSOY-ID
  08.0-2   J115400.1-311541   178.5005    -31.26135   2.72    8.17   0.56798   0.9     -1.15    0      -2.2    2.2     1.4     2.2     3.5999311006073892E18   
  08.0-2   J193500.8-325547   293.75354   -32.92966   15.19   8.16   0.63352   0.42    -1.11    0      2.9     2.7     -1.0    2.7     4.960191188841086E18    
  08.0-2   J194751.8-325745   296.966     -32.9626    15.31   8.58   0.47544   1.0     -1.46    0      -1.2    3.7     -6.7    3.7     5.0081723847210803E18   
  08.0-2   J203702.4-370000   309.2599    -37.00013   13.63   8.48   0.56852   0.83    -1.66    0      4.0     3.3     -0.9    3.2     4.9912974905128817E18   
  08.0-2   J204613.2-375147   311.55499   -37.86292   13.56   8.68   0.63558   0.37    -1.41    0      -4.4    3.5     -4.5    3.5     6.5243498837488282E18   
  08.0-2   J204213.1-375015   310.55478   -37.83744   13.78   8.74   0.61789   0.48    -1.4     0      -1.3    3.5     -4.4    3.5     6.523716425233706E18    
  08.0-2   J205500.3-380809   313.75116   -38.13578   13.62   8.98   0.63051   0.34    -1.89    0      -4.7    3.2     -1.1    3.2     6.5314256174682665E18   
  08.0-2   J210653.2-393431   316.72171   -39.57536   12.79   8.67   0.54107   0.7     -0.89    0      8.0     3.5     6.0     3.5     6.5350372243245875E18   
  08.0-2   J233358.2-474334   353.49249   -47.72613   7.63    8.95   0.52283   0.92    -1.06    0      5.1     2.4     -3.1    2.4     6.6250558399927695E18   
  08.0-2   J230752.2-494549   346.96759   -49.76368   7.21    8.22   0.56048   0.62    -1.54    0      5.5     3.4     -12.9   3.4     6.6139539460991089E18   
  08.0-2   J232157.0-500420   350.48736   -50.07228   7.17    8.45   0.55073   0.82    -1.19    0      -5.7    3.5     -6.1    3.5     6.6150594791163873E18   
  08.0-2   J003856.7-525211   9.73634     -52.86984   5.48    8.81   0.53056   1.15    -1.37    0      2.7     3.4     -0.8    3.4     6.7899254906144922E18   
  08.0-2   J235149.8-551809   357.95738   -55.30252   5.45    8.15   0.63457   0.53    -1.35    0      -7.4    3.3     -10.1   3.3     6.5924399355562875E18   
  08.0-2   J235702.3-582559   359.25953   -58.43309   4.98    8.01   0.68805   0.8     -2.67    0      0.7     3.2     -4.0    3.2     6.5842074972432753E18   
  08.0-2   J025020.4-641540   42.58492    -64.26102   3.53    8.66   0.57249   0.83    -1.5     0      8.2     3.2     -12.1   3.2     6.6873435655886039E18   
  08.0-2   J064739.5-665952   101.91439   -66.99771   2.6     8.6    0.57241   0.84    -1.39    0      6.7     3.2     9.5     3.2     6.2653804216653435E18   
  08.0-2   J115605.0-092038   179.02096   -9.34413    3.84    8.9    0.54379   1.04    -1.78    1      -3.7    2.2     -8.3    2.2     3.7373187064681846E18   
  08.0-2   J130025.0-014147   195.10439   -1.69643    5.55    8.67   0.52645   1.09    -9.0     1      2.2     2.2     -1.5    2.2     3.9570501506003041E18   
  08.0-2   J132640.0+021908   201.66684   2.31892     6.72    8.78   0.75427   0.43    -1.485   1      -8.7    2.3     -4.2    2.3     4.3466566643984814E18   
  08.0-2   J134708.7+024311   206.78627   2.71977     8.11    8.96   0.44707   1.07    -1.316   1      1.9     2.2     -9.3    2.2     4.3962324540190259E18   
  08.0-2   J140606.7-003357   211.52829   -0.56584    8.08    8.23   0.4604    1.08    -9.0     1      -5.7    2.2     -6.6    2.2     4.0126501074059397E18   
  08.0-2   J143129.7+005319   217.87392   0.88876     10.5    8.97   0.62514   0.86    -2.09    1      -4.1    2.3     -2.7    2.3     4.4137695520039112E18   
  08.0-2   J143135.5+013210   217.89824   1.53624     10.22   8.85   0.50735   1.06    -9.0     1      0.0     2.3     -4.5    2.3     4.414185591543319E18    
  08.0-2   J151000.2-030532   227.50092   -3.09247    11.35   8.05   0.6694    0.73    -1.857   1      -3.0    2.3     -4.3    2.3     4.8027508847756575E18   
  08.0-2   J161203.5-073223   243.01478   -7.53974    14.15   8.1    0.64526   0.82    -1.813   1      0.9     2.3     -6.2    2.3     4.8186577879161006E18   
  08.0-2   J162244.6-085719   245.68616   -8.95539    15.21   8.66   0.56516   0.85    -1.674   1      -2.9    2.3     -4.8    2.3     4.8665378950617252E18   
  08.0-2   J162442.7-090813   246.17822   -9.13712    15.62   8.97   0.49457   0.73    -1.147   1      -4.0    2.4     9.3     2.4     4.8665484138098545E18   
